yr,cls,tech,tech_shr_of_vmt,tech_shr_of_trk,tech_shr_of_vmt_v7,tech_shr_of_trk_v7
2007,78Day,adv_conv,0,0,0,0
2007,78Day,bev,0,0,0,0
2007,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2007,78Day,fcev,0,0,0,0
2007,78Day,hev,0,0,0,0
2007,78Day,na,0,0,0,0
2007,78Sleep,adv_conv,0,0,0,0
2007,78Sleep,bev,0,0,0,0
2007,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2007,78Sleep,fcev,0,0,0,0
2007,78Sleep,hev,0,0,0,0
2007,78Sleep,na,0,0,0,0
2007,78SU,adv_conv,0,0,0,0
2007,78SU,bev,0,0,0,0
2007,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2007,78SU,fcev,0,0,0,0
2007,78SU,hev,0,0,0,0
2007,78SU,na,0,0,0,0
2008,78Day,adv_conv,0,0,0,0
2008,78Day,bev,0,0,0,0
2008,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2008,78Day,fcev,0,0,0,0
2008,78Day,hev,0,0,0,0
2008,78Day,na,0,0,0,0
2008,78Sleep,adv_conv,0,0,0,0
2008,78Sleep,bev,0,0,0,0
2008,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2008,78Sleep,fcev,0,0,0,0
2008,78Sleep,hev,0,0,0,0
2008,78Sleep,na,0,0,0,0
2008,78SU,adv_conv,0,0,0,0
2008,78SU,bev,0,0,0,0
2008,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2008,78SU,fcev,0,0,0,0
2008,78SU,hev,0,0,0,0
2008,78SU,na,0,0,0,0
2009,78Day,adv_conv,0,0,0,0
2009,78Day,bev,0,0,0,0
2009,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2009,78Day,fcev,0,0,0,0
2009,78Day,hev,0,0,0,0
2009,78Day,na,0,0,0,0
2009,78Sleep,adv_conv,0,0,0,0
2009,78Sleep,bev,0,0,0,0
2009,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2009,78Sleep,fcev,0,0,0,0
2009,78Sleep,hev,0,0,0,0
2009,78Sleep,na,0,0,0,0
2009,78SU,adv_conv,0,0,0,0
2009,78SU,bev,0,0,0,0
2009,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2009,78SU,fcev,0,0,0,0
2009,78SU,hev,0,0,0,0
